Date,Key,Decopler Box,HV Board,HV CH,Flange ID,ADC Board Order,ADC Board,ADC CH,PMT,HV,Position,Coating,X,Y,Z
2019-07-22,82,3,4,29,F1B16,5,95,2,FB0650,1370,C22R2,1,0.746705,-0.746705,0.211
2019-07-22,83,3,4,41,F1G5,5,95,3,FB0518,1670,C24R5,0,1.02002,-0.273313,-0.422
2019-07-22,84,2,2,5,F1B1,5,95,4,FB0602,1420,C19R2,0,-1.93984E-16,-1.056,0.211
2019-07-22,85,2,2,17,F2G10,5,95,5,FB0585,1530,C13R5,0,-1.056,1.29323E-16,-0.422
2019-07-22,86,2,2,29,F2Y7,5,95,6,FB0499,1500,C4R5,0,0.746705,0.746705,-0.422
2019-07-22,87,2,2,41,F2B13,5,95,7,FB0551,1520,C9R4,1,-0.528,0.914523,-0.211
2019-07-22,88,1,0,5,F2Y14,5,95,8,FB0624,1530,C6R2,1,0.273313,1.02002,0.211
2019-07-22,89,1,0,17,F2Y5,5,95,9,FB0479,1530,C4R3,0,0.746705,0.746705,0
2019-07-22,90,1,0,4,F2B16,5,95,10,FB0547,1590,C10R2,1,-0.746705,0.746705,0.211
2019-07-22,91,1,0,16,F2G2,5,95,11,FB0548,1500,C12R2,1,-1.02002,0.273313,0.211
2019-07-22,92,1,0,28,F2Y3,5,95,12,FB0478,1500,C4R1,0,0.746705,0.746705,0.422
2019-07-22,93,0,0,0,F3G30,5,95,13,EJ301B,1425,C-1R1,1,-998,-998,-998
2019-07-22,94,0,0,0,F3G31,5,95,14,EJ301A,1425,C-2R1,1,-998,-998,-998
2019-07-22,96,2,2,19,F2B8,6,109,0,FB0568,1520,C8R4,0,-0.273313,1.02002,-0.211
2019-07-22,97,2,2,31,F2B14,6,109,1,FB0574,1440,C9R5,0,-0.528,0.914523,-0.422
2019-07-22,98,2,2,43,F2Y15,6,109,2,FB0541,1660,C6R3,0,0.273313,1.02002,0
2019-07-22,99,1,0,7,F2B23,6,109,3,FB0553,1600,C11R4,1,-0.914523,0.528,-0.211
