Decoupler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold ,ADC2PE2,HV On,SPE rate,"Type (1in,2uncoat,3coat)",Cable#,Flange_num,Ring_num,Swage_num,Key
5,0,2,F1,I21,F1I21,13,14,8,FB0471,1850,C305R6,0,-6.48076,61.6604,-58,16.46,-1,16.46,1,1,3,200,1,5,21,216
5,0,12,F1,B27,F1B27,13,14,9,FB0699,1655,C101R6,0,20,0,-58,23.34,-1,23.34,1,1,3,176,1,4,27,217
5,0,1,F2,Y9,F2Y9,13,14,10,FB0768,1850,C23R1,0,88.3346,-51,46.22,13.93,-1,13.93,1,1,3,68,2,2,9,218
5,0,14,F1,I15,F1I15,13,14,11,FB0468,1790,C307R6,U,-50.1591,36.4427,-58,20.57,-1,20.57,1,1,2,194,1,5,15,219
5,0,44,F3,Y5,F3Y5,13,15,12,FB0721,1700,C409R0,0,-67.1484,48.7862,-58,21.27,-1,21.27,1,1,3,34,3,2,5,220
5,0,28,F1,I16,F1I16,13,14,13,FB0819,1500,C204R6,0,-12.6697,38.9933,-58,31.38,-1,31.38,1,1,3,195,1,5,16,221
5,0,25,F1,I6,F1I6,13,14,14,FB0651,1635,C202R6,U,33.1697,24.0992,-58,33.3,-1,33.3,1,1,2,185,1,5,6,222
5,0,24,F1,I3,F1I3,14,15,0,FB0733,1850,C420R6,0,78.9377,-25.6484,58,14.34,-1,14.34,1,1,3,182,1,5,3,224
5,0,38,F2,Y3,F2Y3,14,15,1,FB0674,1684,C24R2,U,98.5244,-26.3995,23.11,31.22,-1,31.22,1,1,2,62,2,2,3,225
5,0,6,F3,R3,F3R3,14,15,2,FB0706,1581,C303R0,0,41.4861,46.075,58,31.32,-1,31.32,1,1,3,23,3,1,3,226
5,0,15,F3,I5,F3I5,14,15,3,FB0755,1592,C205R6,0,-33.1697,24.0992,-58,28.28,-1,28.28,1,1,3,197,3,5,5,227
5,0,26,F2,Y5,F2Y5,14,15,4,FB0731,1680,C24R1,0,98.5244,-26.3995,46.22,35.83,-1,35.83,1,1,3,64,2,2,5,228
5,0,40,F1,I20,F1I20,14,15,5,FB0440,1800,C306R6,0,-31,53.6936,-58,15.21,-1,15.21,1,1,3,199,1,5,20,229
5,0,27,F1,B16,F1B16,14,15,6,FB0850,1518,C412R6,0,-78.9377,-25.6484,58,35.28,-1,35.28,1,1,3,198,1,4,16,230
5,0,17,F3,R7,F3R7,14,15,7,FB0708,1620,C304R0,0,19.1591,58.9655,58,32.57,-1,32.57,1,1,3,27,3,1,7,231
5,0,0,F1,Y2,F1Y2,14,15,8,FB0796,1657,C419R0,0,67.1484,-48.7862,-58,25.49,-1,25.49,1,1,3,11,1,2,2,232
