Decopler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMT,HV,Position,Coating,X,Y,Z,ADCtoPE,Threshold,ADCtoPE2,HV On,SPE rate(kHz),"Type (1”,2uncoat,3coat)",Cable#,Swage,Column,Row,Hvrec,Hvmatch,Key,PMT Type,Avg SPE value
2,2,41,F3,G3,F3G3,7,7,8,FB0842,1557,C12R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,98,4,12,3,1600,1557,103,-999,43.234
2,2,29,F3,G3,F3G3,7,7,1,FB0849,1700,C12R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,99,5,12,2,1600,1700,96,-999,3.842
2,2,18,F3,G3,F3G3,6,6,10,FB0800,1709,C13R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,100,6,13,1,1600,1709,89,-999,15.02
3,3,16,F3,G3,F3G3,9,9,2,FB0848,1699,C13R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,101,7,13,2,1600,1699,129,-999,16.134
3,3,2,F3,G3,F3G3,8,8,3,FB0847,1582,C13R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,102,8,13,4,1600,1582,114,-999,36.212
3,3,27,F3,G3,F3G3,9,9,15,FB0769,1748,C12R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,103,9,12,5,1600,1748,142,-999,11.474
3,3,15,F3,G3,F3G3,9,9,1,FB0805,1700,C12R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,104,10,12,4,1600,1700,128,-999,-2.884
3,3,4,F3,G3,F3G3,8,8,5,FB0843,1649,C13R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,105,11,13,3,1600,1649,116,-999,22.804
3,3,40,F3,G3,F3G3,10,10,13,FB0810,1598,C14R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,106,12,14,1,1600,1598,156,-999,32.542
3,3,28,F3,G3,F3G3,10,10,1,FB0816,1700,C14R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,107,13,14,2,1600,1700,144,-999,5.346
3,3,39,F3,G3,F3G3,10,10,12,FB0806,1565,C14R5,uncoated ,-999,-999,-999,-999,-999,-999,1,-999,2,108,14,14,5,1600,1565,155,-999,40.744
3,3,14,F3,G3,F3G3,8,8,15,FB0814,1626,C14R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,109,15,14,4,1600,1626,126,-999,26.776
3,3,3,F3,G3,F3G3,8,8,4,FB0739,1529,C14R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,110,16,14,3,1600,1529,115,-999,52.182
3,3,38,F3,G3,F3G3,10,10,11,FB0736,1610,C15R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,111,17,15,3,1600,1610,154,-999,29.83
3,3,13,F3,G3,F3G3,8,8,14,FB0801,1631,C15R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,112,18,15,2,1600,1631,125,-999,25.736
3,3,0,F3,G3,F3G3,8,8,1,FB0738,1700,C15R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,113,19,15,1,1600,1700,112,-999,1.511
3,3,36,F3,G3,F3G3,10,10,9,FB0743,1625,C15R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,114,20,15,4,1600,1625,152,-999,26.8262
3,3,25,F3,G3,F3G3,9,9,13,FB0662,1700,C15R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,115,21,15,5,1600,1700,140,-999,9.342
3,3,26,F3,G3,F3G3,9,9,14,FB0664,1729,C16R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,116,22,16,3,1600,1729,141,-999,13.124
3,3,1,F3,B4,F3B4,8,8,2,FB0714,1568,C16R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,117,1,16,2,1600,1568,113,-999,39.908
3,3,24,F3,B4,F3B4,9,9,12,FB07122,1696,C16R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,118,2,16,5,1600,1696,139,-999,16.498
