Decoupler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold,ADC2PE2,HV On,SPE rate,"Type (1in,2uncoat,3coat)",Cable#,Flange_num,Ring_num,Swage_num,Key
5,0,25,F1,I6,F1I6,13,14,14,FB0651,1635,C202R6,U,33.1697,24.0992,-58,28.39,9.25,28.39,1,1,2,185,1,5,6,222
3,3,25,F3,G21,F3G21,8,9,13,FB0662,1750,C15R5,U,-88.3346,-51,-46.22,21.45,8.75,21.45,1,1,2,115,3,3,21,141
5,0,34,F3,Y8,F3Y8,2,3,7,FB0663,1640,C411R0,0,-83,-1.72E-11,-58,27.43,9.25,27.43,1,1,3,37,3,2,8,39
3,3,26,F3,G22,F3G22,8,9,14,FB0664,1750,C16R3,0,-72.1249,-72.1249,0,20.74,8.25,20.74,1,1,3,116,3,3,22,142
5,0,46,F3,Y3,F3Y3,15,16,5,FB0665,1605,C307R0,0,-50.1591,36.4427,58,29.57,10.25,29.57,1,1,3,32,3,2,3,245
3,3,12,F3,B4,F3B4,7,8,13,FB0666,1607,C16R1,0,-72.1249,-72.1249,46.22,26.68,10.25,26.68,1,1,3,120,3,4,4,125
5,0,33,F3,Y2,F3Y2,6,7,0,FB0667,1645,C407R0,U,-25.6484,78.9377,-58,27.77,11.25,27.77,1,1,2,31,3,2,2,96
3,3,23,F1,G8,F1G8,8,9,11,FB0669,1731,C20R2,U,26.3995,-98.5244,23.11,23.9,8.75,23.9,1,1,2,127,1,3,8,139
5,0,7,F3,Y9,F3Y9,14,15,11,FB0671,1611,C206R0,0,-41,-8.5E-12,58,27.15,10.25,27.15,1,1,3,38,3,2,9,235
2,2,35,F1,B1,F1B1,6,7,7,FB0672,1593,C18R1,U,-26.3995,-98.5244,46.22,32.88,10.25,32.88,1,1,2,142,1,4,1,103
4,4,11,F2,G8,F2G8,11,12,2,FB0673,1696,C9R4,U,-51,88.3346,-23.11,26.09,8.75,26.09,1,1,2,82,2,3,8,178
5,0,38,F2,Y3,F2Y3,14,15,1,FB0674,1684,C24R2,U,98.5244,-26.3995,23.11,28.53,10.75,28.53,1,1,2,62,2,2,3,225
4,4,47,F2,G14,F2G14,13,14,3,FB0675,1671,C9R3,0,-51,88.3346,0,33.69,19.25,33.69,1,1,3,88,2,3,14,211
4,4,6,F2,G5,F2G5,10,11,12,FB0676,1642,C8R3,0,-26.3995,98.5244,0,26.36,9.25,26.36,1,1,3,79,2,3,5,172
4,4,46,F2,G9,F2G9,13,14,2,FB0677,1735,C9R5,0,-51,88.3346,-46.22,25.96,9.25,25.96,1,1,3,83,2,3,9,210
4,4,35,F2,G10,F2G10,12,13,8,FB0678,1750,C9R2,0,-51,88.3346,23.11,27.1,4.75,27.1,1,1,3,84,2,3,10,200
3,3,41,F2,G6,F2G6,9,10,14,FB0679,1680,C8R2,U,-26.3995,98.5244,23.11,17.91,9.25,17.91,1,1,2,80,2,3,6,158
4,4,17,F2,R6,F2R6,11,12,7,FB0680,1739,C5R2,0,51,88.3346,23.11,21.11,8.75,21.11,1,1,3,56,2,1,6,183
3,3,30,F2,Y13,F2Y13,9,10,3,FB0681,1800,C4R3,0,72.1249,72.1249,0,17.18,9.75,17.18,1,1,3,72,2,2,13,147
2,2,37,F1,I5,F1I5,3,4,14,FB0683,1748,C301R6,0,62,0,-58,20.64,8.75,20.64,1,1,3,184,1,5,5,62
5,0,11,F1,B23,F1B23,2,3,6,FB0684,1642,C312R6,0,-6.48076,-61.6604,-58,23.96,8.25,23.96,1,1,3,172,1,4,23,38
2,2,1,F1,B28,F1B28,3,4,8,FB0685,1728,C314R6,U,41.4861,-46.075,-58,20.86,8.25,20.86,1,1,2,177,1,4,28,56
5,0,10,F1,B22,F1B22,3,4,1,FB0686,1648,C208R6,0,-12.6697,-38.9933,-58,19.808,8.25,19.808,1,1,3,171,1,4,22,49
4,4,44,F1,G6,F1G6,13,14,0,FB0687,1750,C1R2,0,102,0,23.11,24.81,9.75,24.81,1,1,3,50,1,3,6,208
5,0,35,F1,B24,F1B24,15,16,2,FB0688,1589,C416R6,0,2.58E-11,-83,58,28.82,8.75,28.82,1,1,3,168,1,4,24,242
5,0,23,F1,B19,F1B19,15,16,6,FB0688,1710,C311R6,0,-31,-53.6936,-58,19.4,8.25,19.4,1,1,3,173,1,4,19,246
1,1,36,F1,B14,F1B14,3,4,5,FB0690,1800,C206R6,0,-41,-8.5E-12,-58,21.88,7.75,21.88,1,1,3,163,1,4,14,53
5,0,3,F1,B15,F1B15,1,2,10,FB0691,1599,C103R6,U,-16.1803,11.7557,-58,26.04,10.75,26.04,1,1,2,193,1,4,15,26
1,1,24,F1,I14,F1I14,3,4,3,FB0691,1639,C309R6,0,-60.6452,-12.8905,-58,26.51,8.75,26.51,1,1,3,164,1,5,14,51
2,2,28,F1,Y7,F1Y7,4,5,8,FB0692,1698,C312R0,0,-6.48076,-61.6604,58,24.77,9.75,24.77,1,1,3,16,1,2,7,72
5,0,36,F1,I34,F1I34,13,14,5,FB0693,1750,C414R6,U,-48.7862,-67.1484,58,20,7.25,20,1,1,2,179,1,5,34,213
1,1,37,F1,B12,F1B12,3,4,6,FB0694,1800,C410R6,0,-78.9377,25.6484,58,22.88,9.25,22.88,1,1,3,161,1,4,12,54
4,4,39,F2,R2,F2R2,12,13,10,FB0695,1634,C3R5,U,88.3346,51,-46.22,28.19,5.75,28.19,1,1,2,52,2,1,2,202
4,4,3,F2,Y2,F2Y2,10,11,9,FB0696,1701,C24R5,0,98.5244,-26.3995,-46.22,21.97,8.75,21.97,1,1,3,61,2,2,2,169
1,1,4,F3,B23,F3B23,0,1,4,FB0697,1593,C201R6,0,41,0,-58,27.53,10.25,27.53,1,1,3,183,3,4,23,4
2,2,40,F1,Y11,F1Y11,4,5,10,FB0698,1696,C311R0,0,-31,-53.6936,58,25.44,8.75,25.44,1,1,3,20,1,2,11,74
5,0,12,F1,B27,F1B27,13,14,9,FB0699,1655,C101R6,0,20,0,-58,21.33,7.75,21.33,1,1,3,176,1,4,27,217
2,2,25,F1,I1,F1I1,3,4,12,FB0700,1750,C315R6,0,56.6398,-25.2177,-58,22.05,8.75,22.05,1,1,3,180,1,5,1,60
3,3,20,F1,G15,F1G15,8,9,8,FB0701,1750,C21R2,0,51,-88.3346,23.11,24.39,8.75,24.39,1,1,3,134,1,3,15,136
5,0,19,F3,R1,F3R1,14,15,13,FB0703,1558,C302R0,0,56.6398,25.2177,58,29.52,9.75,29.52,1,1,3,21,3,1,1,237
5,0,13,F2,Y6,F2Y6,8,9,7,FB0705,1621,C24R3,0,98.5244,-26.3995,0,30.49,9.75,30.49,1,1,3,65,2,2,6,135
5,0,6,F3,R3,F3R3,14,15,2,FB0706,1581,C303R0,0,41.4861,46.075,58,25.76,8.75,25.76,1,1,3,23,3,1,3,226
2,2,14,F1,Y8,F1Y8,4,5,3,FB0707,1669,C207R0,0,-33.1697,-24.0992,58,25.62,9.25,25.62,1,1,3,17,1,2,8,67
