Decoupler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold,ADC2PE2,HV On,SPE rate,"Type (1in,2uncoat,3coat)",Cable#,Flange_num,Ring_num,Swage_num,Key
2,2,42,F3,Y13,F3Y13,6,7,9,FB0809,1600,C11R3,0,-88.3346,51.0,0.0,29.93,10.75,29.93,1,1,3,92,3,2,13,105
2,2,43,F3,I3,F3I3,6,7,10,FB0744,1651,C6R5,0,26.3995,98.5244,-46.22,25.18,11.25,25.18,1,1,3,152,3,5,3,106
2,2,44,F3,I8,F3I8,6,7,11,FB0613,1615,C7R4,0,-1.05706e-11,102.0,-23.11,34.66,10.75,34.66,1,1,3,157,3,5,8,107
2,2,45,F3,I9,F3I9,6,7,12,FB0620,1576,C6R1,U,26.3995,98.5244,46.22,35.28,11.25,35.28,1,1,2,158,3,5,9,108
2,2,46,F1,B8,F1B8,6,7,13,FB0726,1690,C17R4,U,-51.0,-88.3346,-23.11,25.07,10.25,25.07,1,1,2,149,1,4,8,109
2,2,47,F1,B3,F1B3,6,7,14,FB0732,1670,C17R3,0,-51.0,-88.3346,0.0,34.13,10.75,34.13,1,1,3,144,1,4,3,110
3,3,14,F3,G15,F3G15,7,8,0,FB0814,1632,C14R4,0,-98.5244,-26.3995,-23.11,30.84,5.75,30.84,1,1,3,109,3,3,15,112
3,3,0,F3,G19,F3G19,7,8,1,FB0738,1691,C15R1,0,-88.3346,-51.0,46.22,30.27,10.75,30.27,1,1,3,113,3,3,19,113
3,3,1,F3,B1,F3B1,7,8,2,FB0714,1597,C16R2,U,-72.1249,-72.1249,23.11,31.72,10.25,31.72,1,1,2,117,3,4,1,114
3,3,2,F3,G8,F3G8,7,8,3,FB0847,1543,C13R4,U,-102.0,-2.11413e-11,-23.11,32.46,9.25,32.46,1,1,2,102,3,3,8,115
3,3,3,F3,G16,F3G16,7,8,4,FB0739,1634,C14R3,0,-98.5244,-26.3995,0.0,23.37,5.25,23.37,1,1,3,110,3,3,16,116
3,3,4,F3,G11,F3G11,7,8,5,FB0843,1520,C13R3,0,-102.0,-2.11413e-11,0.0,30.05,21.75,30.05,1,1,3,105,3,3,11,117
3,3,5,F3,Y15,F3Y15,7,8,6,FB0776,1650,C11R4,0,-88.3346,51.0,-23.11,22.98,9.75,22.98,1,1,3,94,3,2,15,118
3,3,6,F2,G1,F2G1,7,8,7,FB0771,1800,C4R1,0,72.1249,72.1249,46.22,14.0,10.25,14.0,1,1,3,75,2,3,1,119
3,3,7,F1,G21,F1G21,7,8,8,FB0759,1677,C22R5,0,72.1249,-72.1249,-46.22,35.02,5.75,35.02,1,1,3,140,1,3,21,120
3,3,8,F1,G17,F1G17,7,8,9,FB0616,1645,C22R2,0,72.1249,-72.1249,23.11,31.53,9.75,31.53,1,1,3,136,1,3,17,121
3,3,9,F3,B7,F3B7,7,8,10,FB0717,1715,C19R4,0,3.16892e-11,-102.0,-23.11,24.48,9.25,24.48,1,1,3,123,3,4,7,122
3,3,10,F1,G10,F1G10,7,8,11,FB0762,1690,C20R4,0,26.3995,-98.5244,-23.11,29.87,5.25,29.87,1,1,3,129,1,3,10,123
3,3,11,F1,G7,F1G7,7,8,12,FB0735,1570,C20R1,0,26.3995,-98.5244,46.22,33.67,9.75,33.67,1,1,3,126,1,3,7,124
3,3,12,F3,B4,F3B4,7,8,13,FB0666,1607,C16R1,0,-72.1249,-72.1249,46.22,26.68,10.25,26.68,1,1,3,120,3,4,4,125
3,3,13,F3,G18,F3G18,7,8,14,FB0801,1655,C15R2,0,-88.3346,-51.0,23.11,26.26,9.75,26.26,1,1,3,112,3,3,18,126
3,3,27,F3,G9,F3G9,8,9,0,FB0769,1750,C12R5,0,-98.5244,26.3995,-46.22,26.34,9.25,26.34,1,1,3,103,3,3,9,128
3,3,15,F3,G10,F3G10,8,9,1,FB0805,1750,C12R4,0,-98.5244,26.3995,-23.11,24.3,8.75,24.3,1,1,3,104,3,3,10,129
3,3,16,F3,G7,F3G7,8,9,2,FB0848,1510,C13R2,0,-102.0,-2.11413e-11,23.11,33.16,8.75,33.16,1,1,3,101,3,3,7,130
3,3,17,F2,Y14,F2Y14,8,9,3,FB0798,1649,C4R4,0,72.1249,72.1249,-23.11,22.29,8.75,22.29,1,1,3,73,2,2,14,131
3,3,18,F2,Y15,F2Y15,8,9,4,FB0774,1675,C4R2,U,72.1249,72.1249,23.11,29.88,10.25,29.88,1,1,2,74,2,2,15,132
3,3,19,F1,G14,F1G14,8,9,5,FB0817,1420,C21R5,0,51.0,-88.3346,-46.22,30.43,9.75,30.43,1,1,3,133,1,3,14,133
5,0,21,F3,Y11,F3Y11,8,9,6,FB0839,1564,C413R0,0,-67.1484,-48.7862,-58.0,29.84,9.75,29.84,1,1,3,40,3,2,11,134
5,0,13,F2,Y6,F2Y6,8,9,7,FB0705,1621,C24R3,0,98.5244,-26.3995,0.0,30.49,9.75,30.49,1,1,3,65,2,2,6,135
3,3,20,F1,G15,F1G15,8,9,8,FB0701,1750,C21R2,0,51.0,-88.3346,23.11,24.39,8.75,24.39,1,1,3,134,1,3,15,136
3,3,21,F3,B6,F3B6,8,9,9,FB0719,1662,C19R5,U,3.16892e-11,-102.0,-46.22,30.74,9.25,30.74,1,1,2,122,3,4,6,137
3,3,22,F3,B9,F3B9,8,9,10,FB0720,1636,C19R3,0,3.16892e-11,-102.0,0.0,21.49,8.25,21.49,1,1,3,125,3,4,9,138
3,3,23,F1,G8,F1G8,8,9,11,FB0669,1731,C20R2,U,26.3995,-98.5244,23.11,23.9,8.75,23.9,1,1,2,127,1,3,8,139
3,3,24,F3,B2,F3B2,8,9,12,FB07122,1800,C16R5,0,-72.1249,-72.1249,-46.22,17.12,7.25,17.12,1,1,3,118,3,4,2,140
3,3,25,F3,G21,F3G21,8,9,13,FB0662,1750,C15R5,U,-88.3346,-51.0,-46.22,21.45,8.75,21.45,1,1,2,115,3,3,21,141
3,3,26,F3,G22,F3G22,8,9,14,FB0664,1750,C16R3,0,-72.1249,-72.1249,0.0,20.74,8.25,20.74,1,1,3,116,3,3,22,142
3,3,42,F2,Y12,F2Y12,9,10,0,FB0713,1683,C4R5,0,72.1249,72.1249,-46.22,31.72,8.75,31.72,1,1,3,71,2,2,12,144
3,3,28,F3,G13,F3G13,9,10,1,FB0816,1400,C14R2,0,-98.5244,-26.3995,23.11,38.29,31.25,38.29,1,1,3,107,3,3,13,145
3,3,29,F2,G2,F2G2,9,10,2,FB0766,1588,C8R1,0,-26.3995,98.5244,46.22,20.75,9.25,20.75,1,1,3,76,2,3,2,146
3,3,30,F2,Y13,F2Y13,9,10,3,FB0681,1800,C4R3,0,72.1249,72.1249,0.0,17.18,9.75,17.18,1,1,3,72,2,2,13,147
3,3,31,F1,G12,F1G12,9,10,4,FB0741,1741,C21R3,0,51.0,-88.3346,0.0,26.46,9.25,26.46,1,1,3,131,1,3,12,148
3,3,32,F1,G13,F1G13,9,10,5,FB0811,1450,C21R4,U,51.0,-88.3346,-23.11,45.43,8.75,45.43,1,1,2,132,1,3,13,149
3,3,33,F1,G19,F1G19,9,10,6,FB0619,1582,C22R1,U,72.1249,-72.1249,46.22,14.0,8.75,14.0,1,1,2,138,1,3,19,150
3,3,34,F3,B8,F3B8,9,10,7,FB0749,1684,C19R2,0,3.16892e-11,-102.0,23.11,28.64,9.75,28.64,1,1,3,124,3,4,8,151
3,3,35,F1,G11,F1G11,9,10,8,FB0737,1671,C20R3,0,26.3995,-98.5244,0.0,29.76,9.25,29.76,1,1,3,130,1,3,11,152
3,3,36,F3,G20,F3G20,9,10,9,FB0743,1681,C15R4,0,-88.3346,-51.0,-23.11,25.06,8.25,25.06,1,1,3,114,3,3,20,153
3,3,37,F3,B3,F3B3,9,10,10,FB0761,1657,C16R4,0,-72.1249,-72.1249,-23.11,30.53,8.25,30.53,1,1,3,119,3,4,3,154
3,3,38,F3,G17,F3G17,9,10,11,FB0736,1602,C15R3,0,-88.3346,-51.0,0.0,32.43,9.25,32.43,1,1,3,111,3,3,17,155
3,3,39,F3,G14,F3G14,9,10,12,FB0806,1630,C14R5,0,-98.5244,-26.3995,-46.22,29.67,9.25,29.67,1,1,3,108,3,3,14,156
3,3,40,F3,G12,F3G12,9,10,13,FB0810,1400,C14R1,U,-98.5244,-26.3995,46.22,34.73,9.75,34.73,1,1,2,106,3,3,12,157
3,3,41,F2,G6,F2G6,9,10,14,FB0679,1680,C8R2,U,-26.3995,98.5244,23.11,17.91,9.25,17.91,1,1,2,80,2,3,6,158
4,4,9,F2,G13,F2G13,10,11,0,FB0802,1691,C10R5,0,-72.1249,72.1249,-46.22,22.61,8.75,22.61,1,1,3,87,2,3,13,160
3,3,43,F1,G20,F1G20,10,11,1,FB0740,1710,C22R3,0,72.1249,-72.1249,0.0,29.2,9.25,29.2,1,1,3,139,1,3,20,161
3,3,44,F1,G18,F1G18,10,11,2,FB0617,1653,C22R4,0,72.1249,-72.1249,-23.11,32.36,8.75,32.36,1,1,3,137,1,3,18,162
3,3,45,F1,G16,F1G16,10,11,3,FB0757,1634,C21R1,0,51.0,-88.3346,46.22,29.43,9.25,29.43,1,1,3,135,1,3,16,163
3,3,46,F3,B5,F3B5,10,11,4,FB0620,1692,C19R1,0,3.16892e-11,-102.0,46.22,31.83,9.75,31.83,1,1,3,121,3,4,5,164
3,3,47,F1,G9,F1G9,10,11,5,FB0734,1681,C20R5,0,26.3995,-98.5244,-46.22,29.37,8.75,29.37,1,1,3,128,1,3,9,165
5,0,4,F1,I12,F1I12,10,11,6,FB0584,1636,C304R6,0,19.1591,58.9655,-58.0,27.16,10.25,27.16,1,1,3,191,1,5,12,166
4,4,1,F1,R3,F1R3,10,11,7,FB0831,1578,C105R0,0,6.18034,-19.0211,58.0,29.41,9.75,29.41,1,1,3,3,1,1,3,167
4,4,2,F1,R1,F1R1,10,11,8,FB0784,1692,C101R0,U,20.0,0.0,58.0,25.27,9.25,25.27,1,1,2,1,1,1,1,168
4,4,3,F2,Y2,F2Y2,10,11,9,FB0696,1701,C24R5,0,98.5244,-26.3995,-46.22,21.97,8.75,21.97,1,1,3,61,2,2,2,169
4,4,4,F2,R4,F2R4,10,11,10,FB0846,1723,C3R4,0,88.3346,51.0,-23.11,30.74,9.75,30.74,1,1,3,54,2,1,4,170
4,4,5,F2,G4,F2G4,10,11,11,FB0807,1620,C8R4,0,-26.3995,98.5244,-23.11,41.94,9.75,41.94,1,1,3,78,2,3,4,171
4,4,6,F2,G5,F2G5,10,11,12,FB0676,1642,C8R3,0,-26.3995,98.5244,0.0,26.36,9.25,26.36,1,1,3,79,2,3,5,172
4,4,7,F1,Y15,F1Y15,10,11,13,FB0852,1400,C2R5,0,98.5244,26.3995,-46.22,46.0,45.25,46.0,1,1,3,44,1,2,15,173
4,4,8,F1,G4,F1G4,10,11,14,FB0834,1530,C1R5,0,102.0,0.0,-46.22,29.94,9.75,29.94,1,1,3,48,1,3,4,174
4,4,26,F2,Y8,F2Y8,11,12,0,FB0773,1650,C23R3,0,88.3346,-51.0,0.0,31.29,9.75,31.29,1,1,3,67,2,2,8,176
4,4,10,F2,G11,F2G11,11,12,1,FB0808,1726,C10R3,0,-72.1249,72.1249,0.0,32.61,8.75,32.61,1,1,3,85,2,3,11,177
4,4,11,F2,G8,F2G8,11,12,2,FB0673,1696,C9R4,U,-51.0,88.3346,-23.11,26.09,8.75,26.09,1,1,2,82,2,3,8,178
4,4,13,F1,R2,F1R2,11,12,3,FB0792,1674,C401R0,0,83.0,0.0,-58.0,34.93,9.75,34.93,1,1,3,2,1,1,2,179
4,4,14,F2,Y10,F2Y10,11,12,4,FB0855,1400,C23R2,0,88.3346,-51.0,23.11,36.57,39.25,36.57,1,1,3,69,2,2,10,180
4,4,15,F2,Y7,F2Y7,11,12,5,FB0772,1750,C23R4,0,88.3346,-51.0,-23.11,20.99,9.25,20.99,1,1,3,66,2,2,7,181
4,4,16,F2,R9,F2R9,11,12,6,FB0727,1686,C5R4,U,51.0,88.3346,-23.11,33.78,42.75,33.78,1,1,2,59,2,1,9,182
4,4,17,F2,R6,F2R6,11,12,7,FB0680,1739,C5R2,0,51.0,88.3346,23.11,21.11,8.75,21.11,1,1,3,56,2,1,6,183
4,4,18,F2,G3,F2G3,11,12,8,FB0729,1679,C8R5,0,-26.3995,98.5244,-46.22,33.68,10.75,33.68,1,1,3,77,2,3,3,184
4,4,19,F1,Y13,F1Y13,11,12,9,FB0830,1624,C2R4,0,98.5244,26.3995,-23.11,32.52,9.75,32.52,1,1,3,42,1,2,13,185
4,4,20,F1,Y12,F1Y12,11,12,10,FB0795,1646,C2R3,0,98.5244,26.3995,0.0,25.99,8.75,25.99,1,1,3,41,1,2,12,186
4,4,21,F2,G16,F2G16,11,12,11,FB0815,1594,C10R4,0,-72.1249,72.1249,-23.11,37.92,10.25,37.92,1,1,3,90,2,3,16,187
4,4,22,F2,G12,F2G12,11,12,12,FB0813,1450,C10R2,0,-72.1249,72.1249,23.11,34.34,10.25,34.34,1,1,3,86,2,3,12,188
4,4,23,F2,G15,F2G15,11,12,13,FB0804,1593,C9R1,0,-51.0,88.3346,46.22,12.97,7.75,12.97,1,1,3,89,2,3,15,189
4,4,25,F1,R8,F1R8,11,12,14,FB0787,1700,C301R0,U,62.0,0.0,58.0,29.03,9.75,29.03,1,1,2,8,1,1,8,190
4,4,27,F2,Y11,F2Y11,12,13,0,FB0845,1550,C23R5,U,88.3346,-51.0,-46.22,36.87,13.25,36.87,1,1,2,70,2,2,11,192
4,4,28,F2,R7,F2R7,12,13,1,FB0709,1614,C5R5,0,51.0,88.3346,-46.22,35.25,4.75,35.25,1,1,3,57,2,1,7,193
4,4,29,F2,Y1,F2Y1,12,13,2,FB0712,1735,C5R3,0,51.0,88.3346,0.0,23.53,9.75,23.53,1,1,3,60,2,2,1,194
4,4,30,F2,R8,F2R8,12,13,3,FB0851,1667,C5R1,0,51.0,88.3346,46.22,34.73,47.75,34.73,1,1,3,58,2,1,8,195
4,4,31,F1,G3,F1G3,12,13,4,FB0838,1659,C1R4,U,102.0,0.0,-23.11,23.39,4.75,23.39,1,1,2,47,1,3,3,196
4,4,32,F1,G5,F1G5,12,13,5,FB0786,1646,C2R1,U,98.5244,26.3995,46.22,28.0,4.25,28.0,1,1,2,45,1,3,5,197
4,4,33,F1,G1,F1G1,12,13,6,FB0837,1550,C1R1,0,102.0,0.0,46.22,39.33,33.75,39.33,1,1,3,49,1,3,1,198
4,4,34,F2,G7,F2G7,12,13,7,FB0724,1702,C10R1,U,-72.1249,72.1249,46.22,40.0,25.25,40.0,1,1,2,81,2,3,7,199
4,4,35,F2,G10,F2G10,12,13,8,FB0678,1750,C9R2,0,-51.0,88.3346,23.11,27.1,4.75,27.1,1,1,3,84,2,3,10,200
4,4,38,F2,Y4,F2Y4,12,13,9,FB0853,1631,C24R4,0,98.5244,-26.3995,-23.11,34.87,10.75,34.87,1,1,3,63,2,2,4,201
4,4,39,F2,R2,F2R2,12,13,10,FB0695,1634,C3R5,U,88.3346,51.0,-46.22,28.19,5.75,28.19,1,1,2,52,2,1,2,202
4,4,40,F2,R1,F2R1,12,13,11,FB0777,1645,C3R3,0,88.3346,51.0,0.0,22.72,8.75,22.72,1,1,3,51,2,1,1,203
4,4,41,F2,R5,F2R5,12,13,12,FB0803,1726,C3R2,0,88.3346,51.0,23.11,26.99,10.25,26.99,1,1,3,55,2,1,5,204
4,4,42,F2,R3,F2R3,12,13,13,FB0775,1679,C3R1,0,88.3346,51.0,46.22,33.74,11.75,33.74,1,1,3,53,2,1,3,205
4,4,43,F1,G2,F1G2,12,13,14,FB0832,1680,C1R3,0,102.0,0.0,0.0,20.51,5.25,20.51,1,1,3,46,1,3,2,206
4,4,44,F1,G6,F1G6,13,14,0,FB0687,1750,C1R2,0,102.0,0.0,23.11,24.81,9.75,24.81,1,1,3,50,1,3,6,208
4,4,45,F1,Y14,F1Y14,13,14,1,FB0836,1699,C2R2,0,98.5244,26.3995,23.11,30.49,9.25,30.49,1,1,3,43,1,2,14,209
4,4,46,F2,G9,F2G9,13,14,2,FB0677,1735,C9R5,0,-51.0,88.3346,-46.22,25.96,9.25,25.96,1,1,3,83,2,3,9,210
4,4,47,F2,G14,F2G14,13,14,3,FB0675,1671,C9R3,0,-51.0,88.3346,0.0,33.69,19.25,33.69,1,1,3,88,2,3,14,211
5,0,8,F1,B17,F1B17,13,14,4,FB0765,1584,C310R6,0,-50.1591,-36.4427,-58.0,27.68,8.75,27.68,1,1,3,166,1,4,17,212
5,0,36,F1,I34,F1I34,13,14,5,FB0693,1750,C414R6,U,-48.7862,-67.1484,58.0,20.0,7.25,20.0,1,1,2,179,1,5,34,213
5,0,5,F3,Y1,F3Y1,13,14,6,FB0779,1587,C203R0,0,12.6697,38.9933,58.0,23.49,8.25,23.49,1,1,3,30,3,2,1,214
5,0,37,F1,I11,F1I11,13,14,7,FB0636,1620,C203R6,0,12.6697,38.9933,-58.0,29.95,10.25,29.95,1,1,3,190,1,5,11,215
5,0,2,F1,I21,F1I21,13,14,8,FB0471,1850,C305R6,0,-6.48076,61.6604,-58.0,16.38,8.75,16.38,1,1,3,200,1,5,21,216
5,0,12,F1,B27,F1B27,13,14,9,FB0699,1655,C101R6,0,20.0,0.0,-58.0,21.33,7.75,21.33,1,1,3,176,1,4,27,217
