Decopler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMT,HV,Position,Coating,X,Y,Z,ADCtoPE,Threshold,ADCtoPE2,HV On,SPE rate(kHz),"Type (1”,2uncoat,3coat)",Cable#,Swage,Column,Row,Hvrec,Hvmatch,Key,PMT Type,Avg SPE value
3,3,4,F3,G3,F3G3,8,8,5,FB0843,1649,C13R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,105,11,13,3,1600.0,1649,116.0,-999.0,22.804
3,3,40,F3,G3,F3G3,10,10,13,FB0810,1598,C14R1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,106,12,14,1,1600.0,1598,156.0,-999.0,32.542
3,3,28,F3,G3,F3G3,10,10,1,FB0816,1700,C14R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,107,13,14,2,1600.0,1700,144.0,-999.0,5.346
3,3,39,F3,G3,F3G3,10,10,12,FB0806,1565,C14R5,uncoated ,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,2,108,14,14,5,1600.0,1565,155.0,-999.0,40.744
3,3,14,F3,G3,F3G3,8,8,15,FB0814,1626,C14R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,109,15,14,4,1600.0,1626,126.0,-999.0,26.776
3,3,3,F3,G3,F3G3,8,8,4,FB0739,1529,C14R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,110,16,14,3,1600.0,1529,115.0,-999.0,52.182
3,3,38,F3,G3,F3G3,10,10,11,FB0736,1610,C15R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,111,17,15,3,1600.0,1610,154.0,-999.0,29.83
3,3,13,F3,G3,F3G3,8,8,14,FB0801,1631,C15R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,112,18,15,2,1600.0,1631,125.0,-999.0,25.736
3,3,0,F3,G3,F3G3,8,8,1,FB0738,1700,C15R1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,113,19,15,1,1600.0,1700,112.0,-999.0,1.511
3,3,36,F3,G3,F3G3,10,10,9,FB0743,1625,C15R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,114,20,15,4,1600.0,1625,152.0,-999.0,26.8262
3,3,25,F3,G3,F3G3,9,9,13,FB0662,1700,C15R5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,115,21,15,5,1600.0,1700,140.0,-999.0,9.342
3,3,26,F3,G3,F3G3,9,9,14,FB0664,1729,C16R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,116,22,16,3,1600.0,1729,141.0,-999.0,13.124
3,3,1,F3,B4,F3B4,8,8,2,FB0714,1568,C16R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,117,1,16,2,1600.0,1568,113.0,-999.0,39.908
3,3,24,F3,B4,F3B4,9,9,12,FB07122,1696,C16R5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,118,2,16,5,1600.0,1696,139.0,-999.0,16.498
3,3,37,F3,B4,F3B4,10,10,10,FB0761,1660,C16R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,119,3,16,4,1600.0,1660,153.0,-999.0,21.114
3,3,12,F3,B4,F3B4,8,8,13,FB0666,1532,C16R1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,120,4,16,1,1600.0,1532,124.0,-999.0,51.19
3,3,46,F3,B4,F3B4,11,11,4,FB0620,1610,C19R1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,121,5,19,1,1600.0,1610,163.0,-999.0,29.906
3,3,21,F3,B4,F3B4,9,9,9,FB0719,1697,C19R5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,122,6,19,5,1600.0,1697,136.0,-999.0,16.296
3,3,9,F3,B4,F3B4,8,8,10,FB0717,1621,C19R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,123,7,19,4,1600.0,1621,121.0,-999.0,27.702
3,3,34,F3,B4,F3B4,10,10,7,FB0749,1691,C19R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,124,8,19,2,1600.0,1691,150.0,-999.0,17.048
3,3,22,F3,B4,F3B4,9,9,10,FB0720,1619,C19R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,125,9,19,3,1600.0,1619,137.0,-999.0,28.062
3,3,11,F1,G3,F1G3,8,8,12,FB0735,1631,C20R1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,126,7,20,1,1600.0,1631,123.0,-999.0,25.832
3,3,23,F1,G3,F1G3,9,9,11,FB0669,1624,C20R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,127,8,20,2,1600.0,1624,138.0,-999.0,27.09
3,3,47,F1,G3,F1G3,11,11,5,FB0734,1663,C20R5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,128,9,20,5,1600.0,1663,164.0,-999.0,20.61
3,3,10,F1,G3,F1G3,8,8,11,FB0762,1676,C20R4,uncoated ,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,2,129,10,20,4,1600.0,1676,122.0,-999.0,18.836
3,3,35,F1,G3,F1G3,10,10,8,FB0737,1637,C20R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,130,11,20,3,1600.0,1637,151.0,-999.0,24.812
3,3,31,F1,G3,F1G3,10,10,4,FB0741,1700,C21R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,131,12,21,3,1600.0,1700,147.0,-999.0,-17.426
3,3,32,F1,G3,F1G3,10,10,5,FB0811,1670,C21R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,132,13,21,4,1600.0,1670,148.0,-999.0,19.728
