Decoupler Box,HV Board,HV CH,Flange ID,Swage,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold ,ADC2PE2,HV On,SPE rate,Type
0,0,9,4,21,F3G3,2,2,5,FB0828,1650,C209R6,0,-1,-1,-1,1,-1,1,1,1,1
3,3,11,3,7,F3G3,8,8,12,FB0735,1650,C20R1,0,-1,-1,-1,1,-1,1,1,1,1
3,3,23,3,8,F1G3,9,9,11,FB0669,1650,C20R2,0,-1,-1,-1,1,-1,1,1,1,1
3,3,35,3,11,F2G3,10,10,8,FB0737,1650,C20R3,0,-1,-1,-1,1,-1,1,1,1,1
3,3,10,3,10,F3B4,8,8,11,FB0762,1650,C20R4,U ,-1,-1,-1,1,-1,1,1,1,1
3,3,47,3,9,F2Y2,11,11,5,FB0734,1650,C20R5,0,-1,-1,-1,1,-1,1,1,1,1
4,4,36,1,4,F2G3,5,5,14,FB0791,1650,C210R0,0,-1,-1,-1,1,-1,1,1,1,1
2,2,38,5,2,F2G3,4,4,15,FB0781,1650,C210R6,U ,-1,-1,-1,1,-1,1,1,1,1
3,3,45,3,16,F1R1,11,11,0,FB0757,1650,C21R1,U ,-1,-1,-1,1,-1,1,1,1,1
3,3,20,3,15,F3B4,9,9,8,FB0701,1650,C21R2,0,-1,-1,-1,1,-1,1,1,1,1
3,3,31,3,12,F2G3,10,10,4,FB0741,1650,C21R3,0,-1,-1,-1,1,-1,1,1,1,1
3,3,32,3,13,F1K5,10,10,5,FB0811,1650,C21R4,0,-1,-1,-1,1,-1,1,1,1,1
3,3,19,3,14,F3K5,9,9,5,FB0817,1650,C21R5,0,-1,-1,-1,1,-1,1,1,1,1
3,3,33,3,19,F1B4,10,10,6,FB0619,1650,C22R1,0,-1,-1,-1,1,-1,1,1,1,1
3,3,8,3,17,F3G3,8,8,9,FB0616,1650,C22R2,0,-1,-1,-1,1,-1,1,1,1,1
3,3,43,3,20,F2B4,11,11,1,FB0740,1650,C22R3,0,-1,-1,-1,1,-1,1,1,1,1
3,3,44,3,18,F1K5,11,11,2,FB0617,1650,C22R4,0,-1,-1,-1,1,-1,1,1,1,1
3,3,7,3,21,F1Y2,8,8,8,FB0759,1650,C22R5,U ,-1,-1,-1,1,-1,1,1,1,1
0,0,1,2,9,,14,14,10,FB0768,1650,C23R1,0,-1,-1,-1,1,-1,1,1,1,1
4,4,14,2,10,F3Y2,12,12,4,FB0855,1650,C23R2,U ,-1,-1,-1,1,-1,1,1,1,1
4,4,26,2,8,F3K5,12,12,15,FB0773,1650,C23R3,0,-1,-1,-1,1,-1,1,1,1,1
4,4,15,2,7,F2Y2,12,12,5,FB0772,1650,C23R4,0,-1,-1,-1,1,-1,1,1,1,1
4,4,27,2,11,F3K5,13,13,1,FB0845,1650,C23R5,0,-1,-1,-1,1,-1,1,1,1,1
0,0,26,2,5,,15,15,4,FB0731,1650,C24R1,0,-1,-1,-1,1,-1,1,1,1,1
0,0,38,2,3,,15,15,1,FB0674,1650,C24R2,0,-1,-1,-1,1,-1,1,1,1,1
0,0,13,2,6,F1G3,9,9,7,FB0705,1650,C24R3,0,-1,-1,-1,1,-1,1,1,1,1
4,4,38,2,4,F1G3,13,13,10,FB0853,1650,C24R4,U ,-1,-1,-1,1,-1,1,1,1,1
4,4,3,2,2,F2R1,11,11,9,FB0696,1650,C24R5,0,-1,-1,-1,1,-1,1,1,1,1
4,4,32,3,5,F3B4,13,13,6,FB0786,1650,C2R1,U ,-1,-1,-1,1,-1,1,1,1,1
4,4,45,2,14,,14,14,2,FB0836,1650,C2R2,0,-1,-1,-1,1,-1,1,1,1,1
4,4,20,2,12,F1G3,12,12,10,FB0795,1650,C2R3,0,-1,-1,-1,1,-1,1,1,1,1
4,4,19,2,13,F1G3,12,12,9,FB0830,1650,C2R4,0,-1,-1,-1,1,-1,1,1,1,1
4,4,7,2,15,F2R1,11,11,13,FB0852,1650,C2R5,U ,-1,-1,-1,1,-1,1,1,1,1
4,4,25,1,8,F1G3,12,12,14,FB0787,1650,C301R0,U ,-1,-1,-1,1,-1,1,1,1,1
2,2,37,5,5,F2Y2,4,4,14,FB0683,1650,C301R6,0,-1,-1,-1,1,-1,1,1,1,1
0,0,19,1,1,,15,15,13,FB0703,1650,C302R0,0,-1,-1,-1,1,-1,1,1,1,1
2,2,36,5,9,F3G3,4,4,13,FB0597,1650,C302R6,0,-1,-1,-1,1,-1,1,1,1,1
0,0,6,1,3,,15,15,2,FB0706,1650,C303R0,0,-1,-1,-1,1,-1,1,1,1,1
2,2,12,5,8,F3G3,4,4,9,FB0645,1650,C303R6,0,-1,-1,-1,1,-1,1,1,1,1
0,0,17,1,7,,15,15,7,FB0708,1650,C304R0,0,-1,-1,-1,1,-1,1,1,1,1
0,0,4,5,12,F2G3,11,11,6,FB0584,1650,C304R6,0,-1,-1,-1,1,-1,1,1,1,1
0,0,18,1,2,,15,15,12,FB0718,1650,C305R0,0,-1,-1,-1,1,-1,1,1,1,1
0,0,2,5,21,,14,14,8,FB0471,1650,C305R6,0,-1,-1,-1,1,-1,1,1,1,1
0,0,31,1,5,,15,15,9,FB0716,1650,C306R0,0,-1,-1,-1,1,-1,1,1,1,1
0,0,40,5,20,,15,15,5,FB0440,1650,C306R6,0,-1,-1,-1,1,-1,1,1,1,1
0,0,46,2,3,,16,16,5,FB0665,1650,C307R0,0,-1,-1,-1,1,-1,1,1,1,1
0,0,14,5,15,,14,14,11,FB0468,1650,C307R6,0,-1,-1,-1,1,-1,1,1,1,1
0,0,20,2,6,,16,16,11,FB0782,1650,C308R0,U ,-1,-1,-1,1,-1,1,1,1,1
