Decopler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMT,HV,Position,Coating,X,Y,Z,ADCToPE,Threshold,ADCToPE2,HV On,SPE rate(kHz),"Type (1”,2uncoat,3coat)"
2,2,6,F1,G2,F1G2,6,109,9,FB0501,1560,C24R2,uncoated,1.02002,-0.273313,0.211,39.3775,11,184,0,0,2
2,2,18,F2,G13,F2G13,6,109,10,FB0525,1540,C14R3,0,-1.02002,-0.273313,0,-1,-1,40,0,0,3
2,2,30,F2,B11,F2B11,6,109,11,FB0570,1490,C9R2,0,-0.528,0.914523,0.211,40.2896,15,104,1,5802.62,3
2,2,42,F2,G17,F2G17,6,109,12,FB0532,1590,C15R2,0,-0.914523,-0.528,0.211,25.3059,9,104,0,0,3
1,0,6,F2,G19,F2G19,6,109,13,FB0555,1690,C15R4,U,-0.914523,-0.528,-0.211,36.1924,11,200,1,5340.62,2
1,0,18,F2,B3,F2B3,6,109,14,FB0622,1600,C7R4,U,6.46614E-17,1.056,-0.211,25.115,9,160,1,4975.75,2
3,4,8,F1,G20,F1G20,7,61,0,FB0483,1510,C3R5,0,0.914523,0.528,-0.422,24.6784,9,200,1,5275,3
3,4,20,F1,B8,F1B8,7,61,1,FB0599,1490,C20R4,0,0.273313,-1.02002,-0.211,26.3632,9,160,1,5490.69,3
3,4,32,F1,G18,F1G18,7,61,2,FB0473,1620,C3R3,0,0.914523,0.528,0,31.5342,9,152,0,0,3
3,4,44,F1,B5,F1B5,7,61,3,FB0609,1520,C20R1,0,0.273313,-1.02002,0.422,44.3949,13,168,1,4737.94,3
2,2,8,F1,Y18,F1Y18,7,61,4,FB0611,1410,C19R1,0,-1.93984E-16,-1.056,0.422,37.024,11,200,1,4971.69,3
2,2,20,F2,G11,F2G11,7,61,5,FB0531,1470,C14R1,0,-1.02002,-0.273313,0.422,38.2094,15,200,1,5157.25,3
2,2,32,F2,G14,F2G14,7,61,6,FB0530,1410,C14R4,0,-1.02002,-0.273313,-0.211,26.6184,9,184,1,5182.88,3
2,2,44,F2,Y13,F2Y13,7,61,7,FB0539,1810,C6R1,0,0.273313,1.02002,0.422,36.6221,15,192,1,5518.25,3
1,0,8,F2,B2,F2B2,7,61,8,FB0543,1750,C7R3,0,6.46614E-17,1.056,0,25.3866,9,208,1,5830.31,3
1,0,20,F2,G7,F2G7,7,61,9,FB0586,1510,C13R2,0,-1.056,1.29323E-16,0.211,26.1404,9,168,1,5711.81,3
3,4,7,F1,B17,F1B17,7,61,10,FB0563,1600,C22R3,0,0.746705,-0.746705,0,-1,-1,40,1,6330.12,3
3,4,19,F1,G13,F1G13,7,61,11,FB0484,1580,C2R3,0,1.02002,0.273313,0,-1,-1,160,1,6313.75,3
3,4,31,F1,G16,F1G16,7,61,12,FB0480,1520,C3R1,0,0.914523,0.528,0.422,37.5944,11,312,0,0,3
3,4,43,F1,B7,F1B7,7,61,13,FB0608,1590,C20R3,0,0.273313,-1.02002,0,33.779,11,136,1,5856.56,3
2,2,7,F1,B23,F1B23,7,61,14,FB0623,1450,C23R4,uncoated,0.914523,-0.528,-0.211,28.9073,9,200,1,5449.25,2
2,2,22,F2,Y8,F2Y8,8,97,0,FB0503,1960,C5R1,0,0.528,0.914523,0.422,25.7983,9,176,1,4979.12,3
2,2,34,F2,G15,F2G15,8,97,1,FB0524,1430,C14R5,0,-1.02002,-0.273313,-0.422,12.4255,7,192,1,0,3
2,2,46,F2,B18,F2B18,8,97,2,FB0638,1430,C10R4,0,-0.746705,0.746705,-0.211,15.4944,7,112,1,5057.62,3
1,0,10,F2,B1,F2B1,8,97,3,FB0545,1550,C7R2,0,6.46614E-17,1.056,0.211,28.9862,9,136,0,0,3
1,0,22,F2,B6,F2B6,8,97,4,FB0546,1690,C8R2,U,-0.273313,1.02002,0.211,37.2522,15,176,1,4762.62,2
3,4,9,F1,Y16,F1Y16,8,97,5,FB0490,1700,C18R4,0,-0.273313,-1.02002,-0.211,35.4335,9,176,1,5279.31,3
3,4,21,F1,G14,F1G14,8,97,6,FB0481,1480,C2R4,0,1.02002,0.273313,-0.211,21.1705,9,192,1,5682.56,3
3,4,33,F1,B13,F1B13,8,97,7,FB0625,1580,C21R4,uncoated,0.528,-0.914523,-0.211,22.9219,7,208,1,5034,2
3,4,45,F1,G8,F1G8,8,97,8,FB0520,1780,C1R3,0,1.056,0,0,25.2184,9,152,0,0,3
2,2,9,F1,G1,F1G1,8,97,9,FB0567,1470,C24R1,0,1.02002,-0.273313,0.422,34.2263,11,152,1,5976.38,3
2,2,21,F2,G9,F2G9,8,97,10,FB0554,1660,C13R4,U,-1.056,1.29323E-16,-0.211,38.8726,11,160,1,5272.25,2
2,2,33,F2,Y11,F2Y11,8,97,11,FB0500,1580,C5R4,U,0.528,0.914523,-0.211,35.2996,13,176,1,4906.38,2
2,2,45,F2,B17,F2B17,8,97,12,FB0577,1350,C10R3,0,-0.746705,0.746705,0,14.1303,7,200,1,2741.81,3
1,0,9,F2,B22,F2B22,8,97,13,FB0584,1540,C11R3,0,-0.914523,0.528,0,31.5535,9,176,1,5618.19,3
1,0,21,F2,G4,F2G4,8,97,14,FB0582,1580,C12R4,0,-1.02002,0.273313,-0.211,29.7489,9,168,1,5661.31,3
3,4,11,F1,G10,F1G10,9,98,0,FB0640,1530,C1R5,0,1.056,0,-0.422,19.2502,9,160,1,5124.62,3
3,4,23,F1,G11,F1G11,9,98,1,FB0474,1480,C2R1,0,1.02002,0.273313,0.422,24.7813,9,168,1,5391.38,3
3,4,35,F1,B14,F1B14,9,98,2,FB0564,1660,C21R5,0,0.528,-0.914523,-0.422,24.4535,9,160,1,5546.12,3
3,4,47,F1,B4,F1B4,9,98,3,FB0600,1480,C19R5,0,-1.93984E-16,-1.056,-0.422,27.8586,9,144,1,4775.56,3
0,0,0,F3,G32,F3G32,9,98,4,EJ301D,1425,C-3R1,U,-998,-998,-998,0,1,160,0,0,2
2,2,23,F2,B10,F2B10,9,98,5,FB0576,1630,C9R1,0,-0.528,0.914523,0.422,41.1122,15,184,1,6310,3
2,2,35,F2,Y10,F2Y10,9,98,6,FB0540,1670,C5R3,0,0.528,0.914523,0,36.883,11,-8,1,6869.81,3
2,2,47,F2,Y12,F2Y12,9,98,7,FB0544,1600,C5R5,0,0.528,0.914523,-0.422,24.2802,9,192,0,0,3
1,0,11,F2,Y17,F2Y17,9,98,8,FB0537,1700,C6R5,0,0.273313,1.02002,-0.422,28.7535,9,176,0,0,3
1,0,23,F2,G5,F2G5,9,98,9,FB0579,1430,C12R5,0,-1.02002,0.273313,-0.422,37.8193,13,144,1,5194.38,3
3,4,10,F1,Y17,F1Y17,9,98,10,FB0603,1500,C18R5,0,-0.273313,-1.02002,-0.422,36.9197,9,160,1,5410.44,3
3,4,22,F1,B9,F1B9,9,98,11,FB0604,1330,C20R5,0,0.273313,-1.02002,-0.422,18.9709,7,216,1,4607.12,3
3,4,34,F1,Y10,F1Y10,9,98,12,FB0497,1600,C17R3,0,-0.528,-0.914523,0,34.1365,11,184,1,5846.94,3
3,4,46,F1,Y6,F1Y6,9,98,13,FB0485,1410,C16R4,0,-0.746705,-0.746705,-0.211,26.8268,9,136,1,5040.56,3
2,2,10,F1,R1,F1R1,9,98,14,FB0472,1700,VB1,0,-999,-999,-999,18.8718,9,184,1,1482.19,3
2,2,11,F1,R2,F1R2,11,0,0,FB0471,1750,VB2,0,-999,-999,-999,-1,-1,-1,0,,
